user	hotel
1	6
2	56
3	56
4	37
5	56
6	39
7	56
8	3
9	28
10	6
11	56
12	39
13	6
14	56
15	17
16	17
17	3
18	56
19	59
20	17
21	43
22	56
23	57
24	56
25	19
26	60
27	56
28	56
29	56
30	6
31	6
32	56
33	20
34	56
35	37
36	47
37	2
38	51
39	57
40	23
41	37
42	63
43	53
44	2
45	17
46	3
47	39
48	27
49	56
50	6
51	56
52	53
53	37
54	6
55	3
56	56
57	56
58	61
59	6
60	39
61	26
62	2
63	37
64	56
65	37
66	39
67	33
68	56
69	17
70	39
71	56
72	56
73	37
74	60
75	66
76	17
77	56
78	39
79	56
80	56
81	10
82	60
83	56
84	46
85	16
86	57
87	55
88	37
89	45
90	60
91	34
92	34
93	56
94	6
95	56
96	2
97	39
98	36
99	59
100	57
101	8
102	56
103	10
104	57
105	56
106	63
107	56
108	60
109	60
110	39
111	56
112	56
113	17
114	56
115	6
116	6
117	59
118	49
119	56
120	6
121	56
122	60
123	56
124	56
125	39
126	23
127	15
128	56
129	56
130	2
131	39
132	65
133	56
134	39
135	56
136	6
137	56
138	13
139	6
140	17
141	37
142	10
143	3
144	56
145	6
146	56
147	56
148	56
149	37
150	56
151	43
152	60
153	59
154	20
155	56
156	37
157	56
158	56
159	39
160	2
161	60
162	18
163	37
164	3
165	56
166	57
167	10
168	59
169	38
170	2
171	56
172	2
173	10
174	3
175	37
176	17
177	15
178	56
179	2
180	37
181	39
182	37
183	57
184	13
185	39
186	49
187	17
188	10
189	39
190	56
191	4
192	18
193	57
194	55
195	63
196	6
197	59
198	56
199	6
200	56
201	37
202	52
203	59
204	66
205	39
206	56
207	37
208	15
209	56
210	60
211	56
212	59
213	56
214	56
215	60
216	37
217	39
218	47
219	47
220	56
221	56
222	66
223	47
224	20
225	60
226	63
227	2
228	55
229	43
230	6
231	60
232	57
233	56
234	56
235	56
236	57
237	60
238	10
239	3
240	17
241	38
242	2
243	56
244	56
245	57
246	6
247	56
248	37
249	39
250	2
251	59
252	56
253	60
254	56
255	37
256	60
257	43
258	56
259	17
260	45
261	37
262	10
263	43
