user	hotel
1	56
2	56
3	56
4	56
5	56
6	39
7	56
8	56
9	56
10	56
11	56
12	56
13	39
14	56
15	39
16	60
17	39
18	56
19	39
20	39
21	39
22	56
23	56
24	56
25	56
26	39
27	56
28	56
29	56
30	56
31	56
32	56
33	56
34	56
35	56
36	56
37	56
38	56
39	56
40	56
41	39
42	39
43	56
44	56
45	56
46	56
47	56
48	60
49	56
50	56
51	56
52	56
53	39
54	56
55	60
56	56
57	56
58	56
59	56
60	56
61	60
62	39
63	39
64	56
65	56
66	56
67	56
68	56
69	39
70	39
71	56
72	56
73	56
74	39
75	39
76	39
77	56
78	56
79	56
80	56
81	56
82	56
83	56
84	56
85	6
86	56
87	39
88	39
89	56
90	39
91	39
92	56
93	56
94	56
95	56
96	56
97	56
98	56
99	56
100	56
101	56
102	56
103	56
104	56
105	56
106	56
107	56
108	39
109	56
110	39
111	56
112	56
113	56
114	56
115	56
116	56
117	56
118	56
119	56
120	56
121	56
122	56
123	56
124	56
125	56
126	56
127	56
128	56
129	56
130	56
131	56
132	56
133	56
134	39
135	56
136	56
137	56
138	56
139	56
140	60
141	56
142	60
143	56
144	56
145	56
146	56
147	56
148	56
149	60
150	56
151	39
152	60
153	39
154	56
155	56
156	56
157	56
158	56
159	56
160	56
161	56
162	56
163	56
164	56
165	56
166	56
167	56
168	39
169	56
170	56
171	56
172	56
173	56
174	17
175	56
176	60
177	56
178	56
179	56
180	56
181	39
182	56
183	56
184	39
185	56
186	56
187	39
188	56
189	56
190	56
191	56
192	56
193	56
194	56
195	56
196	56
197	39
198	56
199	56
200	56
201	39
202	56
203	39
204	39
205	56
206	56
207	56
208	56
209	56
210	39
211	56
212	37
213	56
214	56
215	39
216	56
217	56
218	56
219	56
220	56
221	56
222	17
223	56
224	56
225	56
226	56
227	56
228	39
229	39
230	39
231	60
232	39
233	56
234	56
235	56
236	56
237	56
238	56
239	39
240	56
241	56
242	56
243	56
244	56
245	56
246	56
247	56
248	39
249	56
250	56
251	39
252	56
253	39
254	56
255	56
256	56
257	39
258	56
259	60
260	56
261	56
262	56
263	39
264	56
265	56
266	39
267	56
268	56
269	56
270	56
271	56
272	56
273	39
274	37
275	39
276	56
277	56
278	56
279	56
280	56
281	56
282	56
283	60
284	39
285	56
286	39
287	56
288	39
289	56
290	56
291	56
292	56
293	56
294	39
295	39
296	56
297	56
298	56
299	56
300	60
301	56
302	56
303	46
304	56
305	56
306	6
307	56
308	60
309	56
310	39
311	56
312	56
313	56
314	56
315	56
316	56
317	56
318	56
319	56
320	56
321	56
322	56
323	56
324	56
325	56
326	39
327	56
328	39
329	56
330	56
331	56
332	56
333	56
334	56
335	56
336	56
337	56
338	56
339	39
340	56
341	56
342	56
343	37
344	56
345	56
346	56
347	60
348	56
349	39
350	56
351	56
352	39
353	39
354	56
355	56
356	39
357	39
358	56
359	60
360	39
361	56
